N,seed_qsk,seed_nqs,model,S_2,S_vN
18,1234,,Exact GS,0.25445493517984696,0.5936869713256312
18,1234,101.0,RBM (Euclidean),0.25281969918895747,0.5899057833929949
18,1234,101.0,HRBM (Hyperbolic),0.2536879443947557,0.5897506372341539
18,1234,202.0,RBM (Euclidean),0.2482559302157971,0.5832055078033641
18,1234,202.0,HRBM (Hyperbolic),0.25328427812092114,0.5893131314696629
18,1234,303.0,RBM (Euclidean),0.2502200078419409,0.5851336609677742
18,1234,303.0,HRBM (Hyperbolic),0.2541274740625719,0.5902730917342748
18,1234,404.0,RBM (Euclidean),0.2514707542625159,0.588761460646893
18,1234,404.0,HRBM (Hyperbolic),0.25489932810287486,0.5919707781852015
18,1234,505.0,RBM (Euclidean),0.25000240602480855,0.5852543214219216
18,1234,505.0,HRBM (Hyperbolic),0.25454920805667286,0.5916436090055488
18,4444,,Exact GS,0.36159083898147043,0.7186227789186767
18,4444,101.0,RBM (Euclidean),0.3594112603770203,0.7148410367359587
18,4444,101.0,HRBM (Hyperbolic),0.36115249754960543,0.7155453958392054
18,4444,202.0,RBM (Euclidean),0.3582977410149246,0.7121423802028275
18,4444,202.0,HRBM (Hyperbolic),0.3608662920679688,0.714895637088374
18,4444,303.0,RBM (Euclidean),0.35848095136618807,0.7145123762993586
18,4444,303.0,HRBM (Hyperbolic),0.3609778359005195,0.7142901642912471
18,4444,404.0,RBM (Euclidean),0.3608611387731885,0.7169441448347486
18,4444,404.0,HRBM (Hyperbolic),0.36201606536237263,0.7162684030118772
18,4444,505.0,RBM (Euclidean),0.3579678630335326,0.7127864468431339
18,4444,505.0,HRBM (Hyperbolic),0.3462834550898347,0.696103365731688
18,5678,,Exact GS,0.28365224923260923,0.6551635279601105
18,5678,101.0,RBM (Euclidean),0.2826555152716844,0.6514187515464329
18,5678,101.0,HRBM (Hyperbolic),0.28238627280108963,0.6491402500940379
18,5678,202.0,RBM (Euclidean),0.2817126931156248,0.6506764223239984
18,5678,202.0,HRBM (Hyperbolic),0.28402623434683605,0.6516822614867382
18,5678,303.0,RBM (Euclidean),0.28383853243120255,0.6530585257693258
18,5678,303.0,HRBM (Hyperbolic),0.28080119513354784,0.646787739100764
18,5678,404.0,RBM (Euclidean),0.28256894532811505,0.6517372541484153
18,5678,404.0,HRBM (Hyperbolic),0.2826151481246758,0.6495456220024888
18,5678,505.0,RBM (Euclidean),0.28005170564072823,0.6483004916797149
18,5678,505.0,HRBM (Hyperbolic),0.2836330750830747,0.6516025815912937
18,6666,,Exact GS,0.32492161658309393,0.6659722282348226
18,6666,101.0,RBM (Euclidean),0.3235986211431368,0.6630084418162489
18,6666,101.0,HRBM (Hyperbolic),0.3251368920816849,0.6635436878015292
18,6666,202.0,RBM (Euclidean),0.32197409132117816,0.6607775000016048
18,6666,202.0,HRBM (Hyperbolic),0.323453201150262,0.661255314913813
18,6666,303.0,RBM (Euclidean),0.32390863608134773,0.6640284070083596
18,6666,303.0,HRBM (Hyperbolic),0.30941032525966145,0.6441594392574221
18,6666,404.0,RBM (Euclidean),0.3242491805459586,0.6656156750758732
18,6666,404.0,HRBM (Hyperbolic),0.32454151712191387,0.6627589898723977
18,6666,505.0,RBM (Euclidean),0.3218727762440671,0.6597899277710922
18,6666,505.0,HRBM (Hyperbolic),0.3251742572515512,0.6645154204283551
18,9012,,Exact GS,0.2896903835974438,0.6563872374500545
18,9012,101.0,RBM (Euclidean),0.2831348857631185,0.6465422219416181
18,9012,101.0,HRBM (Hyperbolic),0.2887062195322583,0.6501391268119893
18,9012,202.0,RBM (Euclidean),0.28328340831636173,0.6455565695738458
18,9012,202.0,HRBM (Hyperbolic),0.2897674267871552,0.6525466737160113
18,9012,303.0,RBM (Euclidean),0.2863548587471703,0.6502812377011444
18,9012,303.0,HRBM (Hyperbolic),0.28961180236176515,0.6520969303523466
18,9012,404.0,RBM (Euclidean),0.2851209099006532,0.649269245137695
18,9012,404.0,HRBM (Hyperbolic),0.290065794703442,0.6524411036735495
18,9012,505.0,RBM (Euclidean),0.28471115976015937,0.6484807423725573
18,9012,505.0,HRBM (Hyperbolic),0.2825459291517979,0.6404098779923354
18,9999,,Exact GS,0.49470747530993425,0.8238044032973745
18,9999,101.0,RBM (Euclidean),0.49091393632239133,0.8173915156140921
18,9999,101.0,HRBM (Hyperbolic),0.48463312999669755,0.8154525227103502
18,9999,202.0,RBM (Euclidean),0.4915898494641585,0.8197665061934929
18,9999,202.0,HRBM (Hyperbolic),0.48715731208733976,0.8174321622271598
18,9999,303.0,RBM (Euclidean),0.49141230969133415,0.8173861849685221
18,9999,303.0,HRBM (Hyperbolic),0.48612952715809427,0.8148641687771014
18,9999,404.0,RBM (Euclidean),0.4868975429413516,0.8103414501860993
18,9999,404.0,HRBM (Hyperbolic),0.48892730966362563,0.8195168155078716
18,9999,505.0,RBM (Euclidean),0.49251412938953354,0.8207121296424293
18,9999,505.0,HRBM (Hyperbolic),0.4933386001117125,0.8232059260912458
