N,seed_qsk,seed_nqs,model,S_2,S_vN
24,1234,,Exact GS,0.4575648295014191,0.9293802555431134
24,1234,101.0,RBM (Euclidean),0.4540822946554291,0.923571125694886
24,1234,101.0,HRBM (Hyperbolic),0.456411799991686,0.9232722991980508
24,1234,202.0,RBM (Euclidean),0.4531875646955065,0.9210827591853896
24,1234,202.0,HRBM (Hyperbolic),0.4479698398303897,0.9104671048126094
24,1234,303.0,RBM (Euclidean),0.4529905629206799,0.9216940170469994
24,1234,303.0,HRBM (Hyperbolic),0.4573063455862761,0.9240079627987982
24,1234,404.0,RBM (Euclidean),0.4529888124531306,0.922108071984756
24,1234,404.0,HRBM (Hyperbolic),0.456614065752784,0.9233349715027278
24,1234,505.0,RBM (Euclidean),0.4499597850619325,0.9170444579758964
24,1234,505.0,HRBM (Hyperbolic),0.4566788825080619,0.9227825975939736
24,4444,,Exact GS,0.4730112445216605,0.9550186109144908
24,4444,101.0,RBM (Euclidean),0.4696208445713104,0.9494880971286932
24,4444,101.0,HRBM (Hyperbolic),0.4700185641078131,0.9473782480885016
24,4444,202.0,RBM (Euclidean),0.4684175377875355,0.9480505254767492
24,4444,202.0,HRBM (Hyperbolic),0.4715012848947801,0.9486049500074286
24,4444,303.0,RBM (Euclidean),0.4673064833103727,0.9475060480233288
24,4444,303.0,HRBM (Hyperbolic),0.4731073913643982,0.9515852840451768
24,4444,404.0,RBM (Euclidean),0.4691365320760674,0.9492630402487902
24,4444,404.0,HRBM (Hyperbolic),0.4716676064007073,0.949432799359795
24,4444,505.0,RBM (Euclidean),0.4694649104636403,0.950013128587811
24,4444,505.0,HRBM (Hyperbolic),0.4711244968376352,0.9483461263970026
24,5678,,Exact GS,0.3056264442169654,0.7104227778586181
24,5678,101.0,RBM (Euclidean),0.3031375009817561,0.7062191607677255
24,5678,101.0,HRBM (Hyperbolic),0.3056778402741228,0.7086445224453526
24,5678,202.0,RBM (Euclidean),0.2973716414231063,0.6971314605496272
24,5678,202.0,HRBM (Hyperbolic),0.304693566295746,0.7066070316088263
24,5678,303.0,RBM (Euclidean),0.3015084396423568,0.7029694085685301
24,5678,303.0,HRBM (Hyperbolic),0.3039338562988705,0.7042289868449064
24,5678,404.0,RBM (Euclidean),0.3004442395836292,0.7017717265797125
24,5678,404.0,HRBM (Hyperbolic),0.3027069617045105,0.7030818027978136
24,5678,505.0,RBM (Euclidean),0.3004014331981957,0.7029519568283408
24,5678,505.0,HRBM (Hyperbolic),0.3016380975817953,0.7013196453915097
24,6666,,Exact GS,0.5399693170980882,1.0219050676615096
24,6666,101.0,RBM (Euclidean),0.5333866075561146,1.0119602378071135
24,6666,101.0,HRBM (Hyperbolic),0.5392474013987151,1.0168056589879135
24,6666,202.0,RBM (Euclidean),0.5348745839393129,1.0138756628646763
24,6666,202.0,HRBM (Hyperbolic),0.5393056951491647,1.0179253763364882
24,6666,303.0,RBM (Euclidean),0.5361719082631005,1.014433018098238
24,6666,303.0,HRBM (Hyperbolic),0.5394619843110803,1.016994770326154
24,6666,404.0,RBM (Euclidean),0.5361702319921245,1.0167765039972358
24,6666,404.0,HRBM (Hyperbolic),0.5397540436655351,1.0176513372861646
24,6666,505.0,RBM (Euclidean),0.5340934712255078,1.013701783595068
24,6666,505.0,HRBM (Hyperbolic),0.5367896049057476,1.014025065764398
24,9012,,Exact GS,0.7107866460607368,1.1175301909900486
24,9012,101.0,RBM (Euclidean),0.7074915359236513,1.1111561753939598
24,9012,101.0,HRBM (Hyperbolic),0.7085997120216646,1.1112355637324427
24,9012,202.0,RBM (Euclidean),0.70681121047394,1.1086503087572313
24,9012,202.0,HRBM (Hyperbolic),0.7083094522521118,1.1120458048720303
24,9012,303.0,RBM (Euclidean),0.706584248046079,1.106854833020496
24,9012,303.0,HRBM (Hyperbolic),0.7079368467017363,1.1092962969557798
24,9012,404.0,RBM (Euclidean),0.7078863047336041,1.1142035939636876
24,9012,404.0,HRBM (Hyperbolic),0.7081909264526645,1.1105757716660278
24,9012,505.0,RBM (Euclidean),0.7040715687757269,1.102963687003806
24,9012,505.0,HRBM (Hyperbolic),0.7089389656568361,1.110954630401342
24,9999,,Exact GS,0.4774720065493347,1.0155002318021225
24,9999,101.0,RBM (Euclidean),0.4727912338849417,1.0088234375050833
24,9999,101.0,HRBM (Hyperbolic),0.4761319100344093,1.0076955396296383
24,9999,202.0,RBM (Euclidean),0.4761193038026865,1.01312077240623
24,9999,202.0,HRBM (Hyperbolic),0.4754678529696202,1.0067980208485448
24,9999,303.0,RBM (Euclidean),0.4710714188778213,1.0048977902312313
24,9999,303.0,HRBM (Hyperbolic),0.4774676335438838,1.0102247347852948
24,9999,404.0,RBM (Euclidean),0.4705183911425181,1.004449644189534
24,9999,404.0,HRBM (Hyperbolic),0.4647207119072664,0.9909080128906272
24,9999,505.0,RBM (Euclidean),0.474130822522163,1.0105753156284991
24,9999,505.0,HRBM (Hyperbolic),0.4744090598064319,1.0052563320703447
