N,seed_qsk,seed_nqs,model,S_2,S_vN
14,1234,,Exact GS,0.2383969452143051,0.5231969947653002
14,1234,101.0,RBM (Euclidean),0.2377292603144693,0.5212982959374582
14,1234,101.0,HRBM (Hyperbolic),0.23489452281577242,0.514699180322733
14,1234,202.0,RBM (Euclidean),0.23909014807574297,0.5227821507301832
14,1234,202.0,HRBM (Hyperbolic),0.23717933993448573,0.5186380702479753
14,1234,303.0,RBM (Euclidean),0.23606076205686596,0.5174250247582904
14,1234,303.0,HRBM (Hyperbolic),0.23870656417749836,0.5224264264047762
14,1234,404.0,RBM (Euclidean),0.23551043076130268,0.5164131075623605
14,1234,404.0,HRBM (Hyperbolic),0.2383756757549272,0.5209024017960396
14,1234,505.0,RBM (Euclidean),0.23359863524038968,0.5143569018220104
14,1234,505.0,HRBM (Hyperbolic),0.21207579878177846,0.47911145644656916
14,4444,,Exact GS,0.24158383951533619,0.5273811179283309
14,4444,101.0,RBM (Euclidean),0.2398551370110208,0.5241070097052782
14,4444,101.0,HRBM (Hyperbolic),0.2419541521136016,0.5255042615009333
14,4444,202.0,RBM (Euclidean),0.24095653160283229,0.5259659607994988
14,4444,202.0,HRBM (Hyperbolic),0.24249400671038757,0.5260690380135908
14,4444,303.0,RBM (Euclidean),0.2405227404942421,0.5240218223114061
14,4444,303.0,HRBM (Hyperbolic),0.2418558652529849,0.5255856432187989
14,4444,404.0,RBM (Euclidean),0.2396671933085345,0.5222038581730265
14,4444,404.0,HRBM (Hyperbolic),0.24226352541227592,0.5259098603789598
14,4444,505.0,RBM (Euclidean),0.24081026500487118,0.5254714890199417
14,4444,505.0,HRBM (Hyperbolic),0.2405232213527416,0.5235003165536553
14,5678,,Exact GS,0.24958582761207204,0.5412753735383342
14,5678,101.0,RBM (Euclidean),0.2473624118563184,0.537815053114991
14,5678,101.0,HRBM (Hyperbolic),0.24925869097030354,0.5379236912704216
14,5678,202.0,RBM (Euclidean),0.24818048358132297,0.5387323949021497
14,5678,202.0,HRBM (Hyperbolic),0.24971391752191266,0.5385716371590484
14,5678,303.0,RBM (Euclidean),0.24623398099684837,0.5350197074089671
14,5678,303.0,HRBM (Hyperbolic),0.2502246379298763,0.539375080427108
14,5678,404.0,RBM (Euclidean),0.24848153091530828,0.5388145246178452
14,5678,404.0,HRBM (Hyperbolic),0.24971698036604373,0.538790581455507
14,5678,505.0,RBM (Euclidean),0.24681636613068939,0.5358074692450765
14,5678,505.0,HRBM (Hyperbolic),0.24915912208240218,0.5380606643851362
14,6666,,Exact GS,0.3006599559375795,0.6122306813867503
14,6666,101.0,RBM (Euclidean),0.2971180162712296,0.6054144001220613
14,6666,101.0,HRBM (Hyperbolic),0.2997280366994857,0.6083003400267302
14,6666,202.0,RBM (Euclidean),0.3006275225163872,0.6126572426353993
14,6666,202.0,HRBM (Hyperbolic),0.3006256270415775,0.6091525304008104
14,6666,303.0,RBM (Euclidean),0.2959051379289376,0.6018757906733566
14,6666,303.0,HRBM (Hyperbolic),0.29914185005994387,0.606610703212952
14,6666,404.0,RBM (Euclidean),0.2985524687566403,0.6092982583475337
14,6666,404.0,HRBM (Hyperbolic),0.30031824306091354,0.6097764624653275
14,6666,505.0,RBM (Euclidean),0.2989061664777834,0.608855519920624
14,6666,505.0,HRBM (Hyperbolic),0.2996079314119213,0.608014093095902
14,9012,,Exact GS,0.22310999644199553,0.46930862713779653
14,9012,101.0,RBM (Euclidean),0.222613768957328,0.4672185715114543
14,9012,101.0,HRBM (Hyperbolic),0.2213562234093149,0.46449399045411893
14,9012,202.0,RBM (Euclidean),0.2230437825457458,0.46914567453453127
14,9012,202.0,HRBM (Hyperbolic),0.2230594358188155,0.46798772050041015
14,9012,303.0,RBM (Euclidean),0.21414079686720655,0.4518331977859732
14,9012,303.0,HRBM (Hyperbolic),0.2226249462883829,0.46738424884131874
14,9012,404.0,RBM (Euclidean),0.20136467956151327,0.43191272821076204
14,9012,404.0,HRBM (Hyperbolic),0.2225235263443742,0.4676278665562828
14,9012,505.0,RBM (Euclidean),0.22271329953216668,0.4677428830456629
14,9012,505.0,HRBM (Hyperbolic),0.2227552928294664,0.4675852773724153
14,9999,,Exact GS,0.4020531118728243,0.7466672763097435
14,9999,101.0,RBM (Euclidean),0.39983120320461835,0.7445779756639882
14,9999,101.0,HRBM (Hyperbolic),0.4013705353835578,0.7432579156032775
14,9999,202.0,RBM (Euclidean),0.40147511264362906,0.7452297768942275
14,9999,202.0,HRBM (Hyperbolic),0.40126435755644185,0.7431167759186896
14,9999,303.0,RBM (Euclidean),0.4018060131292347,0.7447819421065996
14,9999,303.0,HRBM (Hyperbolic),0.40109900684616145,0.7424320062801794
14,9999,404.0,RBM (Euclidean),0.398871837268922,0.7429073274117843
14,9999,404.0,HRBM (Hyperbolic),0.4016788460011704,0.7431561759619773
14,9999,505.0,RBM (Euclidean),0.39990605019489794,0.7434434720998593
14,9999,505.0,HRBM (Hyperbolic),0.40172736927484554,0.743405656388517
