N,seed_qsk,seed_nqs,model,S_2,S_vN
16,1234,,Exact GS,0.24517975872229447,0.5534980288506884
16,1234,101.0,RBM (Euclidean),0.24374347028857624,0.5500948616894344
16,1234,101.0,HRBM (Hyperbolic),0.2455227338683545,0.5508517387257263
16,1234,202.0,RBM (Euclidean),0.24410606345150945,0.5492768375001547
16,1234,202.0,HRBM (Hyperbolic),0.24508460429278955,0.5511791304758414
16,1234,303.0,RBM (Euclidean),0.24317238108256614,0.5499725532899303
16,1234,303.0,HRBM (Hyperbolic),0.24558470088600418,0.5525046023037754
16,1234,404.0,RBM (Euclidean),0.24451085804183964,0.5517544821079695
16,1234,404.0,HRBM (Hyperbolic),0.2446513003735056,0.5506312341204649
16,1234,505.0,RBM (Euclidean),0.24480589455559248,0.5523066696526536
16,1234,505.0,HRBM (Hyperbolic),0.2451694646343204,0.5519429754491016
16,4444,,Exact GS,0.2259199997971368,0.529473793104022
16,4444,101.0,RBM (Euclidean),0.22386092429708557,0.525159132488921
16,4444,101.0,HRBM (Hyperbolic),0.22601546036489603,0.5283764043972485
16,4444,202.0,RBM (Euclidean),0.2226874657475452,0.52266821808905
16,4444,202.0,HRBM (Hyperbolic),0.22515881249083045,0.5262310469401589
16,4444,303.0,RBM (Euclidean),0.22367258686941838,0.5256429533348418
16,4444,303.0,HRBM (Hyperbolic),0.22586232567105108,0.5271742322194976
16,4444,404.0,RBM (Euclidean),0.2229140163069292,0.5237419493558704
16,4444,404.0,HRBM (Hyperbolic),0.22576730249712132,0.5277632142325883
16,4444,505.0,RBM (Euclidean),0.2246873777907715,0.5265934944106666
16,4444,505.0,HRBM (Hyperbolic),0.22520433240063947,0.5261441258364352
16,5678,,Exact GS,0.40638006866449405,0.7034906096662287
16,5678,101.0,RBM (Euclidean),0.4035201330516833,0.6973940574902925
16,5678,101.0,HRBM (Hyperbolic),0.4071849068361018,0.7024832910009966
16,5678,202.0,RBM (Euclidean),0.39717182296862447,0.689398864793993
16,5678,202.0,HRBM (Hyperbolic),0.3476297524854174,0.6453349821392947
16,5678,303.0,RBM (Euclidean),0.40554090137942106,0.7017494887144625
16,5678,303.0,HRBM (Hyperbolic),0.40508756208467867,0.7000771029543391
16,5678,404.0,RBM (Euclidean),0.40468891962820014,0.7005872500644841
16,5678,404.0,HRBM (Hyperbolic),0.40728066077906083,0.7037650987021884
16,5678,505.0,RBM (Euclidean),0.4036781872812765,0.6970411705709237
16,5678,505.0,HRBM (Hyperbolic),0.40397360323680337,0.7008636078717926
16,6666,,Exact GS,0.257172083796775,0.5448649397247126
16,6666,101.0,RBM (Euclidean),0.25349272491728136,0.5401256053692555
16,6666,101.0,HRBM (Hyperbolic),0.2577491884967553,0.5437547460070201
16,6666,202.0,RBM (Euclidean),0.2528882294436044,0.5376413367588456
16,6666,202.0,HRBM (Hyperbolic),0.2577932988912011,0.542373036886596
16,6666,303.0,RBM (Euclidean),0.2563834426759068,0.5434951281837541
16,6666,303.0,HRBM (Hyperbolic),0.25680009989967595,0.542823729728252
16,6666,404.0,RBM (Euclidean),0.2531353057920719,0.5382033056873409
16,6666,404.0,HRBM (Hyperbolic),0.2582661223330449,0.5453782315893301
16,6666,505.0,RBM (Euclidean),0.2557785080002699,0.5411879433691076
16,6666,505.0,HRBM (Hyperbolic),0.2574671440721963,0.5435574486593256
16,9012,,Exact GS,0.22707712169749356,0.5135191701535179
16,9012,101.0,RBM (Euclidean),0.22356573259062118,0.5070190163138327
16,9012,101.0,HRBM (Hyperbolic),0.22356863737042726,0.5060508055352587
16,9012,202.0,RBM (Euclidean),0.225121562421477,0.509109416223329
16,9012,202.0,HRBM (Hyperbolic),0.2284706106012923,0.5136182157210333
16,9012,303.0,RBM (Euclidean),0.22032371934421782,0.49349370365851764
16,9012,303.0,HRBM (Hyperbolic),0.22781462597683394,0.5126874327071522
16,9012,404.0,RBM (Euclidean),0.22467603462761526,0.5092758710039226
16,9012,404.0,HRBM (Hyperbolic),0.21018391885251397,0.48391707192970534
16,9012,505.0,RBM (Euclidean),0.22582192300286752,0.5103593504682988
16,9012,505.0,HRBM (Hyperbolic),0.2294911946748966,0.5153154297857032
16,9999,,Exact GS,0.3969245358303743,0.7701609197222354
16,9999,101.0,RBM (Euclidean),0.39358569163891727,0.7642360261669623
16,9999,101.0,HRBM (Hyperbolic),0.3965014556564563,0.7660024510129517
16,9999,202.0,RBM (Euclidean),0.3932385344567163,0.7642399675743473
16,9999,202.0,HRBM (Hyperbolic),0.3944953524118869,0.7621913882249268
16,9999,303.0,RBM (Euclidean),0.3960908660127704,0.7685499638972784
16,9999,303.0,HRBM (Hyperbolic),0.396505190356498,0.7656067664126778
16,9999,404.0,RBM (Euclidean),0.39092688078419086,0.7585281856767558
16,9999,404.0,HRBM (Hyperbolic),0.39735146008852557,0.7663672260470987
16,9999,505.0,RBM (Euclidean),0.3931330147142418,0.7624096055065458
16,9999,505.0,HRBM (Hyperbolic),0.3957048909287326,0.7649617307423027
